datetime,symbol,open,high,low,close,volume
2014-10-01 23:00:00,OANDA:XAUUSD,1213.7895,1223.2125,1208.7895,1214.4665,103774.0
2014-10-02 23:00:00,OANDA:XAUUSD,1214.4665,1215.515,1190.077,1191.2895,100286.0
2014-10-05 23:00:00,OANDA:XAUUSD,1191.2895,1209.153,1183.106,1207.296,73509.0
2014-10-06 23:00:00,OANDA:XAUUSD,1207.296,1213.4765,1202.914,1208.9265,101959.0
2014-10-07 23:00:00,OANDA:XAUUSD,1208.9265,1224.3775,1204.989,1221.146,100409.0
2014-10-08 23:00:00,OANDA:XAUUSD,1221.146,1233.5615,1219.042,1224.4415,89790.0
2014-10-09 23:00:00,OANDA:XAUUSD,1224.4415,1225.574,1217.478,1223.059,83316.0
2014-10-12 23:00:00,OANDA:XAUUSD,1223.059,1237.77,1223.059,1235.85,67803.0
2014-10-13 23:00:00,OANDA:XAUUSD,1235.85,1238.537,1230.97,1232.7275,65745.0
2014-10-14 23:00:00,OANDA:XAUUSD,1232.7275,1249.823,1222.0265,1241.848,192199.0
2014-10-15 23:00:00,OANDA:XAUUSD,1241.848,1245.384,1235.2095,1239.0435,143299.0
2014-10-16 23:00:00,OANDA:XAUUSD,1239.0435,1241.7955,1231.814,1238.582,70056.0
2014-10-19 23:00:00,OANDA:XAUUSD,1238.582,1248.749,1234.638,1246.8115,49288.0
2014-10-20 23:00:00,OANDA:XAUUSD,1246.8115,1255.3985,1245.367,1248.969,85129.0
2014-10-21 23:00:00,OANDA:XAUUSD,1248.969,1250.047,1240.573,1241.383,62840.0
2014-10-22 23:00:00,OANDA:XAUUSD,1241.383,1244.71,1226.396,1231.8375,70270.0
2014-10-23 23:00:00,OANDA:XAUUSD,1231.8375,1234.515,1228.6345,1231.2045,41203.0
2014-10-26 22:00:00,OANDA:XAUUSD,1231.2045,1232.0725,1225.609,1226.674,37514.0
2014-10-27 22:00:00,OANDA:XAUUSD,1226.674,1235.8235,1222.507,1228.55,65632.0
2014-10-28 22:00:00,OANDA:XAUUSD,1228.55,1230.7345,1208.4835,1211.8205,51908.0
2014-10-29 22:00:00,OANDA:XAUUSD,1211.8205,1216.94,1195.9675,1198.908,86979.0
2014-10-30 22:00:00,OANDA:XAUUSD,1198.908,1202.883,1161.0985,1173.157,182206.0
2014-11-02 23:00:00,OANDA:XAUUSD,1173.157,1173.9735,1161.6085,1165.648,98699.0
2014-11-03 23:00:00,OANDA:XAUUSD,1165.648,1175.7995,1164.046,1168.3,90975.0
2014-11-04 23:00:00,OANDA:XAUUSD,1168.3,1169.8155,1137.7795,1140.5145,196970.0
2014-11-05 23:00:00,OANDA:XAUUSD,1140.5145,1149.771,1138.1345,1142.0515,139815.0
2014-11-06 23:00:00,OANDA:XAUUSD,1142.0515,1178.964,1131.306,1177.585,231033.0
2014-11-09 23:00:00,OANDA:XAUUSD,1177.585,1178.7645,1147.394,1151.92,137185.0
2014-11-10 23:00:00,OANDA:XAUUSD,1151.92,1173.4865,1146.17,1163.965,184129.0
2014-11-11 23:00:00,OANDA:XAUUSD,1163.965,1170.309,1157.3385,1162.8735,135034.0
2014-11-12 23:00:00,OANDA:XAUUSD,1162.8735,1168.7305,1153.857,1162.6415,148842.0
2014-11-13 23:00:00,OANDA:XAUUSD,1162.6415,1193.8285,1146.8615,1189.1075,264127.0
2014-11-16 23:00:00,OANDA:XAUUSD,1189.1075,1194.4615,1181.5625,1186.4605,186841.0
2014-11-17 23:00:00,OANDA:XAUUSD,1186.4605,1204.863,1183.5275,1196.8195,149236.0
2014-11-18 23:00:00,OANDA:XAUUSD,1196.8195,1202.377,1175.3255,1182.572,226178.0
2014-11-19 23:00:00,OANDA:XAUUSD,1182.572,1197.3415,1176.923,1193.722,78391.0
2014-11-20 23:00:00,OANDA:XAUUSD,1193.722,1208.087,1186.909,1201.5245,73025.0
2014-11-23 23:00:00,OANDA:XAUUSD,1201.5245,1204.4855,1192.8935,1197.1095,40993.0
2014-11-24 23:00:00,OANDA:XAUUSD,1197.1095,1203.098,1190.4175,1200.664,51956.0
2014-11-25 23:00:00,OANDA:XAUUSD,1200.664,1202.667,1194.8955,1197.8765,29125.0
2014-11-26 23:00:00,OANDA:XAUUSD,1197.8765,1199.8115,1185.723,1190.9565,42601.0
2014-11-27 23:00:00,OANDA:XAUUSD,1190.9565,1194.012,1165.249,1167.046,61755.0
2014-11-30 23:00:00,OANDA:XAUUSD,1167.046,1221.444,1142.7845,1211.9945,163945.0
2014-12-01 23:00:00,OANDA:XAUUSD,1211.9945,1213.1835,1191.9345,1198.4315,76487.0
2014-12-02 23:00:00,OANDA:XAUUSD,1198.4315,1215.356,1194.057,1209.515,55729.0
2014-12-03 23:00:00,OANDA:XAUUSD,1209.515,1213.6055,1201.2435,1205.235,61898.0
2014-12-04 23:00:00,OANDA:XAUUSD,1205.235,1207.786,1186.0425,1192.0455,67636.0
2014-12-07 23:00:00,OANDA:XAUUSD,1192.0455,1208.9935,1187.1535,1203.3775,46212.0
2014-12-08 23:00:00,OANDA:XAUUSD,1203.3775,1238.385,1199.445,1231.1545,90807.0
2014-12-09 23:00:00,OANDA:XAUUSD,1231.1545,1238.3525,1224.7855,1226.315,76535.0
2014-12-10 23:00:00,OANDA:XAUUSD,1226.315,1232.9435,1216.0195,1227.866,84406.0
2014-12-11 23:00:00,OANDA:XAUUSD,1227.866,1228.34,1214.353,1222.4625,110830.0
